,date,favorite_count,keyword,location,text,user,object_of_sentiment,salience,magnitude,sentiment_score,person
30,Fri Jul 19 14:35:33 +0000 2019,0,syriza,Europe,"RT @garyyounge: ""There is a limit to how much any election can achieve under neoliberal globalisation  because no matter who you vote for,",fdiezbuzo,,,,,
31,Fri Jul 19 10:26:32 +0000 2019,4,syriza,Europe,@anatropi_news ERT should change. Samaras started this but SYRIZA doggies blocked him. Its a good opportunity now t https://t.co/AzpmnmYQ1z,atheniancapital,,,,,
32,Fri Jul 19 08:56:14 +0000 2019,0,syriza,Europe,"SP

The recent general election in Greece saw a heavy defeat for Syriza (Coalition of the Radical Left) and a victo https://t.co/X4Am0Ii59w",VasanthaR2016,,,,,
33,Thu Jul 18 19:56:42 +0000 2019,0,syriza,Europe,"#Greeces long road ahead: ""Rebuilding the fight against #austerity could take years  and will be impossible witho https://t.co/jKTmZmy06p",IdealismPrevail,,,,,
34,Thu Jul 18 16:16:20 +0000 2019,0,syriza,Europe,"RT @Underground_RT: 'Syriza were voted in in 2015 saying they have an alternative route for the Greek economy, it was proven that they DID",anonymiss8,,,,,
35,Thu Jul 18 15:02:51 +0000 2019,0,syriza,Europe,RT @WendyPettifer: Yanis Varoufakis newly elected to Greek Parl is beacon of hope in defeat of  Syriza #InternationalSocialForum2019 @Greek,EscobarLaya,,,,,
36,Thu Jul 18 12:48:31 +0000 2019,0,syriza,Europe,"RT @EuroBabble: #populism never works. #Greece
https://t.co/8GRwqq5mVi",ric_gris,,,,,
37,Thu Jul 18 11:10:56 +0000 2019,9,syriza,Europe,"Looking back on the Greek crisis: Stathis Kouvelakis from 2016:

'Left-wingers who disintegrate internally tend to https://t.co/c5q8MY1hcu",NewLeftReview,,,,,
38,Thu Jul 18 10:11:02 +0000 2019,8,syriza,Europe,"#populism never works. #Greece
https://t.co/8GRwqq5mVi",EuroBabble,,,,,
39,Thu Jul 18 09:36:09 +0000 2019,0,syriza,Europe,RT @paulmasonnews: Syriza's defeat another signal that the strategy of the radical left must change...  https://t.co/b3kjJxRjGi,PNHunt,,,,,
40,Thu Jul 18 05:56:51 +0000 2019,0,syriza,Europe,"RT @EuropeanUni: On 7 July voters in #Greece abandoned Syriza in favour of the more mainstream party New Democracy. How did they get there,",f_tassinari,,,,,
41,Wed Jul 17 18:53:10 +0000 2019,1,syriza,Europe,@H0lyInquisiti0n Apart from economics there's little real difference between ND and Syriza,tone74662527,,,,,
42,Wed Jul 17 18:17:16 +0000 2019,0,syriza,Europe,"@kndrmndr @kostarvanitis @GUENGL @SYRIZAEP You should very well know that SYRIZA's position is neither pro Maduro, https://t.co/fFlwAcB06E",vkatsardis,,,,,
43,Wed Jul 17 12:42:42 +0000 2019,0,syriza,Europe,@alexia_kapl @PrimeministerGR Yes I am serious and definitely live on the same planet. Once the elections were anno https://t.co/zCjsA1cFHl,IA_Kosmidis,,,,,
44,Wed Jul 17 11:19:12 +0000 2019,1,syriza,Europe,@jedijip @Alexandros1909 @ManolisAst The north remembers only when PAOK won the league and possibly when Paola was https://t.co/Asfy1mx97a,IoannisGrammati,,,,,
45,Wed Jul 17 08:12:31 +0000 2019,0,syriza,Europe,"RT @rimbaud_enfer: If you read this article, it's like listening to an ignorant SYRIZA voter. This guy must be either an absolute idiot (in",bellicose102,,,,,
46,Wed Jul 17 07:26:53 +0000 2019,3,syriza,Europe,"If you read this article, it's like listening to an ignorant SYRIZA voter. This guy must be either an absolute idio https://t.co/f94ZRm7tUR",rimbaud_enfer,,,,,
47,Tue Jul 16 19:56:40 +0000 2019,1,syriza,Europe,@damomac These were so much fun during the Syriza days. Cant wait for more of these ones now!,NickBarnets,,,,,
48,Tue Jul 16 19:28:22 +0000 2019,0,syriza,Europe,"@Discworld101 @GeorgeAylett You clearly know more about it than me, but I'm still confused why there is so much hat https://t.co/zaVKDo9TWg",RedGeorgieOne,,,,,
49,Tue Jul 16 16:26:14 +0000 2019,0,syriza,Europe,RT @Tony95396125: @omadaalithias He must have well paid and powerful friends. A year ago they manage to get him out and SYRIZA send him bac,Konsilieros,,,,,
50,Tue Jul 16 15:55:07 +0000 2019,2,syriza,Europe,@omadaalithias He must have well paid and powerful friends. A year ago they manage to get him out and SYRIZA send h https://t.co/aLdYM5F292,Tony95396125,,,,,
51,Tue Jul 16 14:25:51 +0000 2019,3,syriza,Europe,@pmpoc @enzoreds Maybe the most important difference (because we do seem to agree on a lot) is that I never found t https://t.co/32kgnOWMaM,PRoufos,,,,,
52,Tue Jul 16 14:21:41 +0000 2019,1,syriza,Europe,"@PRoufos @enzoreds I think, and Ive actually read your book so I know this isnt your view, as such, that this is https://t.co/6ZiPBy4DSj",pmpoc,,,,,
53,Tue Jul 16 13:54:32 +0000 2019,0,syriza,Europe,"Syriza's fall from grace in Greece: Can neoliberalism be defeated?

https://t.co/221bjryPOJ https://t.co/n4ZjjTPuUI",ENnewsfront,,,,,
54,Tue Jul 16 13:33:43 +0000 2019,4,syriza,Europe,"'Syriza were voted in in 2015 saying they have an alternative route for the Greek economy, it was proven that they https://t.co/LziSHT7YsV",Underground_RT,,,,,
55,Tue Jul 16 13:31:07 +0000 2019,0,syriza,Europe,@Underground_RT @nmitarakis @SYRIZAEP I would like to remind you that @SYRIZAEP is the account of the delegation of https://t.co/xfDvVGGkav,vkatsardis,,,,,
56,Tue Jul 16 09:53:34 +0000 2019,0,syriza,Europe,@vozemberg Nea Dimokratia NEVER said a bad word about SYRIZA and its Government!!!,Tony95396125,,,,,
57,Tue Jul 16 09:11:16 +0000 2019,0,syriza,Europe,"RT @Goulchad: ""the ruins of the 'Syriza project' provide harsh warnings for other Left parties like Corbyn's Labour Party. Only the adoptio",jaimeiconcha,,,,,
58,Tue Jul 16 08:08:56 +0000 2019,4,syriza,Europe,"""the ruins of the 'Syriza project' provide harsh warnings for other Left parties like Corbyn's Labour Party. Only t https://t.co/x9upxaVcDj",Goulchad,,,,,
59,Tue Jul 16 07:59:50 +0000 2019,0,syriza,Europe,@NickCohen4 @MrRemain @shrewdkitty @Peradventur3 @hugorifkind @mrjamesob @IanDunt @pimlicat Social justice has beco https://t.co/chjsUHwmGc,LeavingPlanet,,,,,
60,Tue Jul 16 07:57:31 +0000 2019,0,syriza,Europe,Make syriza 4% again https://t.co/6Y7OolRSuP,hardala1312,,,,,
61,Tue Jul 16 07:16:22 +0000 2019,11,syriza,Europe,On 7 July voters in #Greece abandoned Syriza in favour of the more mainstream party New Democracy. How did they get https://t.co/ugUpuNpTb3,EuropeanUni,,,,,
